Time:2023-02-08 12:48:36 EP:152 Reward:0 Avg_reward:3.436949999999452 Epsilon:0.05 Iter:1941 Res:Result.Defeat
Time:2023-02-08 12:49:27 EP:153 Reward:0 Avg_reward:3.436949999999452 Epsilon:0.05 Iter:1243 Res:Result.Defeat
Time:2023-02-08 12:50:58 EP:154 Reward:0.19500000000000006 Avg_reward:2.5439999999994245 Epsilon:0.05 Iter:2391 Res:Result.Defeat
Time:2023-02-08 12:51:49 EP:155 Reward:0 Avg_reward:2.543999999999425 Epsilon:0.05 Iter:1232 Res:Result.Defeat
Time:2023-02-08 12:53:01 EP:156 Reward:0 Avg_reward:2.543999999999425 Epsilon:0.05 Iter:1857 Res:Result.Defeat
Time:2023-02-08 12:53:55 EP:157 Reward:0 Avg_reward:2.5439999999994245 Epsilon:0.05 Iter:1299 Res:Result.Defeat
Time:2023-02-08 12:54:56 EP:158 Reward:0 Avg_reward:2.5439999999994245 Epsilon:0.05 Iter:1483 Res:Result.Defeat
Time:2023-02-08 12:55:46 EP:159 Reward:0 Avg_reward:2.543999999999425 Epsilon:0.05 Iter:1219 Res:Result.Defeat
Time:2023-02-08 12:56:45 EP:160 Reward:0 Avg_reward:2.543999999999425 Epsilon:0.05 Iter:1447 Res:Result.Defeat
Time:2023-02-08 12:57:42 EP:161 Reward:0 Avg_reward:2.5418999999994245 Epsilon:0.05 Iter:1374 Res:Result.Defeat
Time:2023-02-08 12:58:32 EP:162 Reward:0 Avg_reward:2.5418999999994245 Epsilon:0.05 Iter:1176 Res:Result.Defeat
Time:2023-02-08 12:59:35 EP:163 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1616 Res:Result.Defeat
Time:2023-02-08 13:00:32 EP:164 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1384 Res:Result.Defeat
Time:2023-02-08 13:01:45 EP:165 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1872 Res:Result.Defeat
Time:2023-02-08 13:02:36 EP:166 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1208 Res:Result.Defeat
Time:2023-02-08 13:03:37 EP:167 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1560 Res:Result.Defeat
Time:2023-02-08 13:04:28 EP:168 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1192 Res:Result.Defeat
Time:2023-02-08 13:05:21 EP:169 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1293 Res:Result.Defeat
Time:2023-02-08 13:06:22 EP:170 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1543 Res:Result.Defeat
Time:2023-02-08 13:07:18 EP:171 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1351 Res:Result.Defeat
Time:2023-02-08 13:08:26 EP:172 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1705 Res:Result.Defeat
Time:2023-02-08 13:09:24 EP:173 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1441 Res:Result.Defeat
Time:2023-02-08 13:10:32 EP:174 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1726 Res:Result.Defeat
Time:2023-02-08 13:11:40 EP:175 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1714 Res:Result.Defeat
Time:2023-02-08 13:13:18 EP:176 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:2601 Res:Result.Defeat
Time:2023-02-08 13:14:24 EP:177 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1659 Res:Result.Defeat
Time:2023-02-08 13:15:31 EP:178 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1716 Res:Result.Defeat
Time:2023-02-08 13:16:25 EP:179 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1292 Res:Result.Defeat
Time:2023-02-08 13:17:23 EP:180 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1440 Res:Result.Defeat
Time:2023-02-08 13:18:17 EP:181 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1339 Res:Result.Defeat
Time:2023-02-08 13:19:13 EP:182 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1402 Res:Result.Defeat
Time:2023-02-08 13:20:00 EP:183 Reward:0 Avg_reward:2.5412999999994246 Epsilon:0.05 Iter:1109 Res:Result.Defeat
Time:2023-02-08 13:23:13 EP:184 Reward:198.85499999995838 Avg_reward:4.5298499999990085 Epsilon:0.05 Iter:2983 Res:Result.Defeat
Time:2023-02-08 13:24:02 EP:185 Reward:0 Avg_reward:4.5298499999990085 Epsilon:0.05 Iter:1169 Res:Result.Defeat
Time:2023-02-08 13:25:35 EP:186 Reward:40.39500000000084 Avg_reward:4.9337999999990165 Epsilon:0.05 Iter:2050 Res:Result.Defeat
Time:2023-02-08 13:26:32 EP:187 Reward:0 Avg_reward:4.933799999999017 Epsilon:0.05 Iter:1430 Res:Result.Defeat
Time:2023-02-08 13:27:23 EP:188 Reward:0 Avg_reward:4.933799999999016 Epsilon:0.05 Iter:1226 Res:Result.Defeat
Time:2023-02-08 13:28:19 EP:189 Reward:0 Avg_reward:4.933799999999017 Epsilon:0.05 Iter:1404 Res:Result.Defeat
Time:2023-02-08 13:29:17 EP:190 Reward:0 Avg_reward:4.9337999999990165 Epsilon:0.05 Iter:1430 Res:Result.Defeat
Time:2023-02-08 13:30:32 EP:191 Reward:0 Avg_reward:4.9337999999990165 Epsilon:0.05 Iter:1929 Res:Result.Defeat
Time:2023-02-08 13:31:39 EP:192 Reward:0 Avg_reward:4.9337999999990165 Epsilon:0.05 Iter:1698 Res:Result.Defeat
Time:2023-02-08 13:32:32 EP:193 Reward:0 Avg_reward:4.933799999999017 Epsilon:0.05 Iter:1258 Res:Result.Defeat
Time:2023-02-08 13:33:30 EP:194 Reward:0 Avg_reward:4.9337999999990165 Epsilon:0.05 Iter:1401 Res:Result.Defeat
Time:2023-02-08 13:34:22 EP:195 Reward:0 Avg_reward:2.4086999999995924 Epsilon:0.05 Iter:1262 Res:Result.Defeat
Time:2023-02-08 13:35:24 EP:196 Reward:0 Avg_reward:2.4086999999995924 Epsilon:0.05 Iter:1562 Res:Result.Defeat
Time:2023-02-08 13:36:23 EP:197 Reward:0 Avg_reward:2.4086999999995924 Epsilon:0.05 Iter:1481 Res:Result.Defeat
